	mut_freq
TP53	0.413
PIK3CA	0.3691
ERBB2	0.0496
ESR1	0.0275
GATA3	0.4236
MYC	0.0328
CDH1	0.4428
MAP3K1	0.2896
PTEN	0.0047
AKT1	0.0194
RB1	0.0243
CCND1	0.0305
FOXA1	0.0044
MKI67	0.0278
EGFR	0.0217
BRCA1	0.0124
BRCA2	0.0155
BG0000	0.0136
BG0001	0.0078
BG0002	0.0271
BG0003	0.004
BG0004	0.0078
BG0005	0.0282
BG0006	0.019
BG0007	0.0049
BG0008	0.0133
BG0009	0.0489
BG0010	0.0194
BG0011	0.0337
BG0012	0.0168
BG0013	0.0151
BG0014	0.0188
BG0015	0.0052
BG0016	0.0443
BG0017	0.0157
BG0018	0.0128
BG0019	0.0325
BG0020	0.0146
BG0021	0.04
BG0022	0.0489
BG0023	0.0349
BG0024	0.0495
BG0025	0.0253
BG0026	0.0314
BG0027	0.0265
BG0028	0.0339
BG0029	0.0395
BG0030	0.0479
BG0031	0.0013
BG0032	0.0314
BG0033	0.0018
BG0034	0.0011
BG0035	0.0185
BG0036	0.0406
BG0037	0.0108
BG0038	0.0339
BG0039	0.0473
BG0040	0.0023
BG0041	0.0323
BG0042	0.032
BG0043	0.0422
BG0044	0.0364
BG0045	0.0005
BG0046	0.0062
BG0047	0.0057
BG0048	0.0139
BG0049	0.0414
BG0050	0.0449
BG0051	0.0187
BG0052	0.0488
BG0053	0.0023
BG0054	0.0248
BG0055	0.0064
BG0056	0.0181
BG0057	0.0398
BG0058	0.0389
BG0059	0.0349
BG0060	0.0321
BG0061	0.04
BG0062	0.014
BG0063	0.003
BG0064	0.0311
BG0065	0.0234
BG0066	0.0012
BG0067	0.0472
BG0068	0.0111
BG0069	0.0351
BG0070	0.0093
BG0071	0.0004
BG0072	0.0231
BG0073	0.005
BG0074	0.0202
BG0075	0.0239
BG0076	0.0331
BG0077	0.0041
BG0078	0.0252
BG0079	0.0153
BG0080	0.0095
BG0081	0.0089
BG0082	0.0159
BG0083	0.0489
BG0084	0.0033
BG0085	0.0206
BG0086	0.011
BG0087	0.0168
BG0088	0.0266
BG0089	0.0028
BG0090	0.046
BG0091	0.043
BG0092	0.0455
BG0093	0.0321
BG0094	0.0468
BG0095	0.0384
BG0096	0.0267
BG0097	0.0335
BG0098	0.0442
BG0099	0.0344
BG0100	0.0498
BG0101	0.037
BG0102	0.0481
BG0103	0.0056
BG0104	0.0082
BG0105	0.0443
BG0106	0.0092
BG0107	0.0185
BG0108	0.0288
BG0109	0.0197
BG0110	0.0476
BG0111	0.0232
BG0112	0.0294
BG0113	0.0029
BG0114	0.0313
BG0115	0.0464
BG0116	0.0359
BG0117	0.0317
BG0118	0.0376
BG0119	0.0084
BG0120	0.0262
BG0121	0.0122
BG0122	0.0459
BG0123	0.0426
BG0124	0.0424
BG0125	0.011
BG0126	0.0401
BG0127	0.0374
BG0128	0.0145
BG0129	0.0143
BG0130	0.0291
BG0131	0.0049
BG0132	0.0267
BG0133	0.0005
BG0134	0.0316
BG0135	0.0349
BG0136	0.0122
BG0137	0.0014
BG0138	0.0432
BG0139	0.0411
BG0140	0.0302
BG0141	0.035
BG0142	0.035
BG0143	0.0293
BG0144	0.0198
BG0145	0.0013
BG0146	0.0487
BG0147	0.0394
BG0148	0.0386
BG0149	0.0197
BG0150	0.0442
BG0151	0.0329
BG0152	0.0027
BG0153	0.0377
BG0154	0.0319
BG0155	0.0173
BG0156	0.0245
BG0157	0.0226
BG0158	0.0348
BG0159	0.0321
BG0160	0.0076
BG0161	0.0496
BG0162	0.029
BG0163	0.019
BG0164	0.0248
BG0165	0.0338
BG0166	0.0315
BG0167	0.0005
BG0168	0.0299
BG0169	0.0391
BG0170	0.0016
BG0171	0.0092
BG0172	0.0436
BG0173	0.0097
BG0174	0.0039
BG0175	0.0211
BG0176	0.0397
BG0177	0.0016
BG0178	0.0186
BG0179	0.0057
BG0180	0.0398
BG0181	0.0429
BG0182	0.0293
BG0183	0.0211
BG0184	0.0446
BG0185	0.0396
BG0186	0.0122
BG0187	0.0055
BG0188	0.0344
BG0189	0.0089
BG0190	0.0195
BG0191	0.0318
BG0192	0.0286
BG0193	0.0343
BG0194	0.0189
BG0195	0.0213
BG0196	0.0388
BG0197	0.0343
BG0198	0.0001
BG0199	0.0497
BG0200	0.0454
BG0201	0.0295
BG0202	0.0009
BG0203	0.0296
BG0204	0.0188
BG0205	0.0264
BG0206	0.0046
BG0207	0.0227
BG0208	0.0048
BG0209	0.0341
BG0210	0.0225
BG0211	0.0116
BG0212	0.0356
BG0213	0.0385
BG0214	0.0008
BG0215	0.0306
BG0216	0.0245
BG0217	0.0173
BG0218	0.0411
BG0219	0.0221
BG0220	0.0137
BG0221	0.0054
BG0222	0.0398
BG0223	0.0289
BG0224	0.0106
BG0225	0.0096
BG0226	0.0321
BG0227	0.0218
BG0228	0.0189
BG0229	0.0361
BG0230	0.0152
BG0231	0.0346
BG0232	0.0219
BG0233	0.0125
BG0234	0.0185
BG0235	0.0422
BG0236	0.0226
BG0237	0.0471
BG0238	0.0107
BG0239	0.0252
BG0240	0.011
BG0241	0.0153
BG0242	0.0405
BG0243	0.0445
BG0244	0.0102
BG0245	0.009
BG0246	0.0151
BG0247	0.035
BG0248	0.0245
BG0249	0.0372
BG0250	0.0175
BG0251	0.0049
BG0252	0.0008
BG0253	0.006
BG0254	0.0173
BG0255	0.0183
BG0256	0.037
BG0257	0.0435
BG0258	0.0076
BG0259	0.0036
BG0260	0.0169
BG0261	0.0043
BG0262	0.0281
BG0263	0.0034
BG0264	0.0417
BG0265	0.0348
BG0266	0.0235
BG0267	0.0304
BG0268	0.012
BG0269	0.0372
BG0270	0.006
BG0271	0.0409
BG0272	0.0341
BG0273	0.0441
BG0274	0.0155
BG0275	0.0188
BG0276	0.0156
BG0277	0.0424
BG0278	0.0106
BG0279	0.0147
BG0280	0.0097
BG0281	0.0437
BG0282	0.0052
BG0283	0.0295
BG0284	0.0287
BG0285	0.045
BG0286	0.0262
BG0287	0.0319
BG0288	0.0399
BG0289	0.0037
BG0290	0.0045
BG0291	0.0014
BG0292	0.0429
BG0293	0.0212
BG0294	0.0392
BG0295	0.0263
BG0296	0.0188
BG0297	0.0093
BG0298	0.0308
BG0299	0.0342
BG0300	0.0347
BG0301	0.0054
BG0302	0.0392
BG0303	0.012
BG0304	0.0141
BG0305	0.0149
BG0306	0.0056
BG0307	0.0461
BG0308	0.0144
BG0309	0.0283
BG0310	0.0379
BG0311	0.0387
BG0312	0.0248
BG0313	0.0072
BG0314	0.0047
BG0315	0.0037
BG0316	0.0492
BG0317	0.0323
BG0318	0.0427
BG0319	0.0405
BG0320	0.0129
BG0321	0.0247
BG0322	0.0056
BG0323	0.0354
BG0324	0.0039
BG0325	0.0235
BG0326	0.0212
BG0327	0.0365
BG0328	0.0178
BG0329	0.0313
BG0330	0.0142
BG0331	0.0071
BG0332	0.0106
BG0333	0.0197
BG0334	0.0169
BG0335	0.0451
BG0336	0.0341
BG0337	0.0452
BG0338	0.0077
BG0339	0.0046
BG0340	0.0035
BG0341	0.0164
BG0342	0.0233
BG0343	0.0438
BG0344	0.0368
BG0345	0.0363
BG0346	0.0111
BG0347	0.0395
BG0348	0.0264
BG0349	0.0402
BG0350	0.0363
BG0351	0.046
BG0352	0.0367
BG0353	0.0285
BG0354	0.0141
BG0355	0.0015
BG0356	0.0073
BG0357	0.0185
BG0358	0.0444
BG0359	0.0157
BG0360	0.0158
BG0361	0.0001
BG0362	0.0174
BG0363	0.0126
BG0364	0.0065
BG0365	0.0098
BG0366	0.0341
BG0367	0.0319
BG0368	0.0108
BG0369	0.0294
BG0370	0.0239
BG0371	0.0324
BG0372	0.0323
BG0373	0.0474
BG0374	0.0486
BG0375	0.0038
BG0376	0.0352
BG0377	0.0367
BG0378	0.0406
BG0379	0.0294
BG0380	0.0105
BG0381	0.0447
BG0382	0.0457
BG0383	0.0005
BG0384	0.0072
BG0385	0.0021
BG0386	0.0482
BG0387	0.0074
BG0388	0.0284
BG0389	0.0078
BG0390	0.0051
BG0391	0.0327
BG0392	0.0298
BG0393	0.0139
BG0394	0.0009
BG0395	0.0376
BG0396	0.0454
BG0397	0.0211
BG0398	0.0321
BG0399	0.0424
BG0400	0.0009
