gene	neglog10p
ACTR2	16.397940008672037
ACTRT3	11.69897000433602
ACVR1B	8.698970004336019
ADAMTS7	14.397940008672036
AJAP1	5.221848749616356
AK5	15.397940008672036
AK6P1	5.301029995663981
AKR1B10	5.522878745280337
ANP32A	5.154901959985743
APOM	11.30102999566398
AQP3	12.0
AQP7	12.0
ASIC2	5.301029995663981
ASIP	8.522878745280337
ATM	9.522878745280336
ATP5MC1P3	19.221848749616356
ATP8B4	8.045757490560675
ATXN2	6.0
ATXN2-AS	5.301029995663981
B3GAT1	5.045757490560675
BABAM1	8.698970004336019
BAG6	11.30102999566398
BAZ1A	10.045757490560677
BCL6-AS1	5.522878745280337
BPTF	12.0
BRCA2	11.096910013008056
BTNL2	16.0
C11orf65	9.522878745280336
C1D	6.0
C5orf67	11.397940008672036
C6orf52	5.096910013008056
CABLES1	6.522878745280337
CALCRL-AS1	5.221848749616356
CAPZB	6.221848749616356
CAST	5.221848749616356
CCDC179	5.096910013008056
CCDC26	5.522878745280337
CCDC85C	5.3979400086720375
CCSER1	5.096910013008056
CD83P1	5.522878745280337
CDCA7	5.698970004336019
CDKN2A-AS1	5.221848749616356
CDKN2B-AS1	12.0
CEACAM21	6.522878745280337
CEACAMP3	6.522878745280337
CHASERR	5.3979400086720375
CHD2	5.3979400086720375
CHRNA3	50.69897000433602
CHRNA5	81.52287874528034
CHRNB4	25.221848749616356
CLPTM1L	28.0
CNTLN	5.522878745280337
CNTNAP5	5.096910013008056
COL11A1	5.522878745280337
COPS2	28.221848749616356
COX7CP3	7.698970004336019
CPNE4	5.3979400086720375
CSMD3	5.301029995663981
CYP1A1	6.301029995663981
CYP1A2	6.301029995663981
CYP2A6	20.522878745280337
DCBLD1	22.522878745280337
DCTN4	7.096910013008056
DLG2	6.221848749616356
DNAJB4	7.397940008672037
DOCK1	6.301029995663981
DTNB	18.221848749616356
DTWD1	8.045757490560675
DVL1	9.30102999566398
E2F5-DT	5.221848749616356
EFCAB2	5.221848749616356
EIF4EP4	5.3979400086720375
ELOBP3	5.154901959985743
EPHA7	5.096910013008056
EPHB1	6.698970004336019
EPHX2	11.221848749616356
ERBB4	5.698970004336019
ERICH6B	6.698970004336019
ESF1	6.698970004336019
ETAA1	5.698970004336019
FADS1	13.69897000433602
FADS2	13.69897000433602
FAM227B	13.522878745280336
FAM53B	10.522878745280336
FBXL7	6.0
FGF7	13.522878745280336
FGFR2	34.096910013008056
FOXP1	5.698970004336019
FOXP4-AS1	13.397940008672036
FRMD4A	5.522878745280337
FRY	8.397940008672037
FUT2	5.301029995663981
GALK2	11.522878745280336
GAPDHP68	7.096910013008056
GAREM1	7.397940008672037
GBA1LP	6.698970004336019
GCLC	9.045757490560677
GCLC-AS1	7.397940008672037
GCNT2P1	5.096910013008056
GIPC2	7.397940008672037
GMFG	5.3979400086720375
GPR37	9.154901959985745
GULOP	11.221848749616356
GUSBP18	5.045757490560675
HHIPL1	5.3979400086720375
HLA-B	6.522878745280337
HLA-DPA2	16.30102999566398
HLA-DPB1	16.30102999566398
HLA-DQA1	6.096910013008056
HLA-DQB1	7.221848749616356
HLA-DRA	10.045757490560677
HLA-DRB1	6.096910013008056
HLA-F-AS1	13.096910013008056
HLA-H	5.522878745280337
HNF1B	27.154901959985743
HNRNPA1P53	5.698970004336019
HSD17B2-AS1	8.698970004336019
INMT-MINDY4	5.3979400086720375
IRF4	7.0
JCHAINP1	5.221848749616356
KCNH1	7.0
KCTD8	7.698970004336019
KRT8	14.69897000433602
LARP7P4	5.301029995663981
LHX3	5.3979400086720375
LINC00320	5.221848749616356
LINC00399	6.522878745280337
LINC00502	5.698970004336019
LINC00511	5.522878745280337
LINC00561	7.397940008672037
LINC00676	6.522878745280337
LINC00824	12.69897000433602
LINC01080	5.522878745280337
LINC01350	5.522878745280337
LINC01623	7.698970004336019
LINC01648	5.698970004336019
LINC01812	5.522878745280337
LINC01828	6.3979400086720375
LINC01829	6.3979400086720375
LINC01891	6.221848749616356
LINC01956	6.154901959985743
LINC01997	6.698970004336019
LINC02101	6.154901959985743
LINC02225	6.154901959985743
LINC02237	7.0
LINC02261	5.698970004336019
LINC02373	5.522878745280337
LINC02378	5.301029995663981
LINC02392	6.698970004336019
LINC02421	5.045757490560675
LINC02475	7.698970004336019
LINC02483	5.522878745280337
LINC02500	5.301029995663981
LINC02562	5.522878745280337
LINC02571	6.522878745280337
LINC02645	6.3979400086720375
LINC02781	5.221848749616356
LINC02782	7.397940008672037
LINC02789	5.3979400086720375
LINC02793	5.0
LINC02831	5.698970004336019
LINC02945	5.045757490560675
LMCD1-AS1	6.221848749616356
LMO7DN	7.397940008672037
