gene	log2fc	pval
ARF5	0.38131682033490955	5.933425882902959e-27
M6PR	0.16554906174484002	4.908744421025918e-06
ESRRA	-0.21891025841545964	0.0020009263231394857
FKBP4	0.539500765691686	2.1855156643721728e-26
NDUFAF7	-0.04490779673697913	0.19021812753859582
FUCA2	0.4053630184504297	2.863690915334226e-13
HS3ST1	0.3328294047710032	0.0011469310118062271
SEMA3F	-0.47709756598288816	3.6588137171194685e-13
CFTR	-0.9571278995987125	1.204064429904573e-08
CYP51A1	-0.40539137376287665	1.389935315819177e-13
USP28	0.29766834850538093	5.483063248181684e-12
TMEM176A	-0.22532728812232866	0.01120669734203192
SLC7A2	0.42903379613595355	0.01351012610640111
HSPB6	-1.571789754970291	3.9285261914325256e-75
ZNF195	0.2966168048677551	0.24293799949668843
PDK4	-1.1133922700340486	5.4425980268461767e-39
USH1C	0.1885997801557605	0.5544576644973579
RALA	-0.6272094145651852	2.696657022208903e-30
BAIAP2L1	0.8901215724663007	5.332380601697884e-41
TMEM132A	0.2702456451748504	0.0002137139191343117
DVL2	-0.10422770831932333	1.5649554445403547e-06
RPAP3	0.41098039976063305	1.3763160592075282e-44
IFRD1	0.06606363393546956	0.308346525444549
SKAP2	-0.34175621897606906	3.237936585555899e-14
CX3CL1	0.3065010066198663	0.05311289634122695
PRR5	-0.007604749004825703	0.9418000832353361
TRAPPC6A	0.11249177415207229	0.0059534453727186736
WDR54	-0.3562255457742146	1.2958198689614832e-19
SPATA20	0.23751325892676547	2.4916297921194723e-07
CEACAM7	0.4454917382828376	0.05945340746747344
CD79B	0.31603401548195326	0.13152465919782688
RHBDD2	0.2583322384315389	5.9213077918535905e-05
TSR3	0.4181735785632782	6.462449956605062e-19
OSBPL7	-0.050390717725158664	0.20006545497174905
NDUFAB1	0.30997407635027163	5.926659010701918e-20
YBX2	0.584895872663294	0.00018767121618377364
LRRC23	-0.7376831010455633	5.879959781608065e-08
CRY1	-0.044191103123959144	0.6375150511739396
PGLYRP1	-0.4813572595370954	8.548967753697826e-07
STARD3NL	-0.33820463507442866	6.247519747045733e-10
CD9	-0.5924147006175946	1.4698169363210023e-21
CD74	0.0030031640992983846	0.951928481094614
RPS20	0.43566985031615574	5.776709720403735e-43
MGST1	0.2221018997720409	0.0012005554287290738
RANBP9	0.11023609411241753	2.9784754262803814e-06
CD4	0.010100826886869217	0.8304786395549476
SS18L2	0.22139503007246092	0.0001470456914724583
TSPAN9	-0.8623229399807093	1.471813623720758e-48
QPCTL	-0.1057073144683878	0.009837833860936179
HIVEP2	0.029848606513612565	0.5359147138656297
PPP5C	-0.09447793343157371	1.7074808507427284e-05
NME1	0.9982150199200923	7.902168223210632e-58
UBR7	0.36390237348622895	8.737594762568459e-23
MAP4K5	0.08503417948397708	0.0010135140620181368
INMT	-1.3166380980870895	1.4481403800518664e-12
PTBP1	0.1476455877663302	1.6276579493537534e-23
GPRC5A	-1.7086492742230996	2.409477615952732e-72
HEBP1	-0.5308633821473738	1.2209030694369427e-35
COX15	0.14778137319947504	0.014364105309701948
XYLT2	0.013422506762012926	0.8174891245946458
FTSJ1	-1.105909670380065	1.3386665453200763e-05
SCTR	-0.05222082147652296	0.7886291728732394
RALBP1	-0.03313576502496883	0.13891003503148439
SNAI2	-0.10383456080092973	0.6089220044631621
VDAC3	0.5544560829101479	7.028268365292918e-23
RTF2	0.4643113370382022	2.767228176656247e-33
SLC45A4	0.17928108932280007	0.4904500462315415
RB1CC1	-0.007977277904999556	0.7356502938846236
AKAP11	-0.06751478121366178	0.004400069032638543
STRAP	0.35890348145909606	1.2188377316676996e-40
CDH17	0.11002287853078213	0.559341317906757
B4GALT7	0.633224119082453	7.126176690010891e-17
FAM13B	-0.14408284201160446	0.423172310953953
CHPF2	0.46501481268647066	3.1068821383349206e-15
GABARAPL2	0.001997199120220214	0.9618373108521606
MYOC	-0.7067588460545967	9.717710489315124e-19
FAM136A	0.9645386121297079	1.888573007877125e-49
NSMAF	-0.09994539641794625	3.1250507039928456e-05
OTC	-1.36606367968102	3.015361223218032e-52
TTC17	0.32850243126094714	1.1218574955906564e-16
MRI1	-0.0060177023487677575	0.860664716605457
BOD1L1	0.25088607567242954	3.964485388584051e-29
TARBP1	0.10120631797258037	0.0017533862429824595
RIPOR1	-0.7309440193726268	7.624008464896321e-81
PSMA4	0.060905171083020924	0.0004666786661069042
LCP2	0.086016382231413	0.03745384993552298
DCN	-1.2661343760065071	6.464569505097952e-53
TNFRSF17	0.5079201601960618	6.389846515679095e-05
MRPS10	0.3087089248311923	5.7962641539304285e-15
GRN	0.3083191157169189	3.313543889363148e-07
KITLG	-0.2447833735146892	0.0009005279740226047
THAP3	-0.19604646391546263	0.1546169485073056
VAMP3	-0.3586762463993428	9.275061814307208e-28
RCN1	0.6479946056453403	2.557546007801441e-34
RFC2	0.3130375514098408	1.4321424565930896e-23
ARHGEF5	0.3002708953441686	1.1937212686013372e-19
SIKE1	0.09223706146004562	1.4434752248619259e-05
CDC27	0.1876713258426918	7.18118264744099e-14
IL1RAP	0.057251963567982796	0.24629576002375045
YIPF1	0.5116849823188613	6.17430153971635e-13
ADCK2	-0.3095199537515549	2.1926155251834527e-05
SLC2A3	0.12492758104060059	0.18097299722377275
ENPP2	-0.3139719352198408	8.605663077465584e-08
GNA11	-0.6063616876312565	6.574909277408663e-38
PIGV	-0.11903648421568261	0.17897059622328673
HDAC7	-0.3920046504843341	2.0317505113257306e-47
MRPS35	0.6386416547987275	8.813887303750074e-39
APPBP2	-0.11571528429944725	0.004915030504236392
EPN1	-0.383347909069203	1.0086587405299614e-06
CD22	-0.28103692834100896	0.10796630573200484
HDHD5	0.2921973087500693	3.0770883665420694e-11
KCNQ1	0.18803135216804326	0.07585014370627272
OTUD5	0.02204332193808347	0.6223795907188302
GPKOW	0.30474729070591833	2.2456336661231196e-33
AQR	0.13612240811532433	5.967956252616321e-13
KLK14	0.08729275593142227	0.5438267723705345
ST6GALNAC1	0.04846847733992029	0.5476482795026004
LMCD1	-0.9193193195538121	6.904724342550423e-49
PSMC4	0.29661594394805163	1.4904057034719776e-49
ACAP1	-0.010932143703627408	0.7914924662725724
DERL2	0.10739311450938317	0.06970278952979982
ANO8	0.15611966378801895	0.004200545385043555
KDM4B	0.21939358781744706	5.848500623449603e-09
ICAM3	-0.040050220970564716	0.4163182406982294
CAMSAP3	0.2708725058445851	3.436705435612783e-14
CTTNBP2	-0.5586152792021848	0.00047098727773080783
KIF22	0.19138220317490984	0.003460553576138985
PRSS22	0.2888560461707695	0.0017388768246827523
CEACAM1	0.21449226970159496	0.00018249761945388939
YTHDC2	0.1228272992477436	1.604541167681342e-06
TMEM161A	0.25919487382376594	1.067901326355894e-05
BCAR1	-0.5690581087654843	0.00016653185498844154
FOXJ2	0.028589244493922313	0.3814955400959082
TNFRSF1A	0.07161974522764891	0.17968839933481637
GOLGA5	0.5845429108128233	3.695535780494589e-51
PPP2R5B	-0.42675888772936604	3.5983587491799687e-40
PYGM	-1.2917713101577788	2.5092052899395645e-70
BCL3	0.27069314606757594	9.561943373326396e-08
KCNAB2	-0.038650564545063784	0.5425723476043802
PIGB	-0.08946354862224748	0.199317152240247
REEP1	-0.3728448560278981	0.057212894843382094
FSTL3	0.10675378963828908	0.33613131231145965
TRIP13	0.5509504147091917	4.774306826138831e-10
P4HA2	0.8191757876877976	1.3835242794140256e-36
VASH1	-0.03967492542018651	0.47782117723227957
KRT14	0.2469355105534986	0.19788027009499068
KRT20	0.15387903156430416	0.3319151076699444
SPP2	-0.49607745589425095	7.280868733245321e-15
HSD17B10	0.22884125496259536	2.69425630721965e-10
ST6GAL1	0.3884926743806256	3.118175522179268e-10
TIMM21	0.39043998751875403	5.176868518013882e-15
BPIFB2	-0.168306790409531	0.24407969948355068
REXO1	0.268168657900511	3.342213726729759e-08
MKRN2	-0.07361236332931405	0.002667899848962293
GPATCH1	0.25001819467626085	8.620999787044068e-14
IL4R	-0.35050481317922066	0.04388336714206284
KEAP1	-0.13204892387438125	2.7353680956532004e-05
TNS1	-1.496807260823989	5.461892797077676e-07
NGFR	-0.4180362973026369	0.023851601687393392
NTN1	-0.20945170169060898	0.0033730975532443442
ISOC1	-0.21563341396758917	5.834242742838827e-11
MNT	-0.004849104839840754	0.9091932102593531
AP3M2	-0.07861811176843489	0.0017201542377158281
LAPTM4A	1.8753145970246496	1.6439345863495968e-21
ASNS	0.789360169187288	5.055650775889582e-28
PTPN18	-0.06604161186248353	0.08827619212362013
ALDH3A2	-0.0436815554419098	0.5115939639957418
STK10	-0.2960542318631948	9.446148018674489e-20
ALPK1	-0.20221245506802188	9.501745175231851e-08
TBX21	-0.47044103039327245	2.2955008224305777e-07
MRPS34	0.24771132926359712	6.57697407708892e-11
CA12	-0.03734216552273534	0.7246834869154253
MAP2K5	-0.17286036067105984	8.911631646844409e-06
TIGAR	0.10054424832396382	0.0011804562104025698
CPB2	-0.6283599345404353	2.4015385493275547e-24
CDK13	0.4152775097277349	6.217248995794167e-39
FAR2	-0.7145565903363258	1.810538964922086e-11
TRAM2	0.730828657821582	8.802273373658647e-08
CAPN3	0.20331645827104655	0.013145622239438283
NDUFB4	0.33735649876752277	9.740414922436345e-18
HEATR6	0.2485214832043945	1.134679919509046e-17
ERLEC1	0.3912163785085281	2.919882196612977e-32
HMMR	0.7109800570655445	7.861618188164252e-12
TMEM131	0.3841154849717925	3.0091972420833893e-29
ACTR6	0.02711586636091383	0.2562989941775208
SLC25A3	0.40369605991321567	8.931028928447598e-16
FAP	0.701804720709393	5.884522954891994e-25
NFKB2	0.6315854796690699	1.0791591685307499e-19
OSBPL6	-0.483681692783475	1.793109783747543e-30
CCN5	-0.9192634082543434	2.1324834482375588e-32
CTSA	0.3372703453761835	9.081369054218337e-10
UHRF1BP1	0.13837623220859605	5.555785188582681e-08
OSTM1	-0.14866518659526423	0.0006986091193549706
ACTN1	-0.5265017768744142	1.6032607633837254e-14
PCDHB2	-0.060457941729133324	0.6211912530007897
HSPB11	-0.20195782169375126	1.5660470240735598e-06
STRADB	-0.6831452366162974	0.002260903420361347
DOP1A	-0.21311423589427064	5.3670893602824e-06
PLOD1	0.5503016645391916	1.0596559972672534e-27
OXCT1	0.19686948526984535	0.002007611421514985
ZNF324	0.13681245047851934	0.22156781514250262
RPS5	0.6222421975856354	4.286648195353089e-77
FAM234B	-0.6464144750787073	1.440847783675837e-07
RRN3	-0.02225507556975277	0.6340413606965437
DIMT1	0.10362583118460009	6.90640153529247e-05
EIF2AK1	0.4055327269267013	1.1596074701821623e-11
EPDR1	0.12637287941335723	0.09954619931773839
MRPL28	0.4856498072887685	6.786407169104086e-27
HBQ1	-1.6211461731930759	5.031004118811343e-55
CEACAM6	0.1842268099150316	0.024664313398688822
RBM22	0.3356843696939081	4.458930944922873e-41
HSD17B2	0.06916581661679902	0.6671856589347518
MAP2	-0.5721781751281668	1.6325408949767278e-10
ZW10	0.2827736769887137	9.4774698065324e-30
TRIP6	-0.19172810872331253	4.917971832341892e-09
LAMP2	0.15843290005597277	0.2866153627030749
CETP	-0.8034051429068741	3.1036000671166823e-25
MT3	0.8636132169250861	8.041299571540337e-11
TFAP2C	-0.22977655669087285	0.05102136170506485
SULT2B1	-0.7346976504359299	8.893979728162901e-21
EPS8L1	0.045405835093719135	0.43062034123588244
REM1	-0.6147207618064325	8.847923098294862e-20
PDRG1	0.49156638248582213	1.335091240965609e-32
EPB41L1	-0.03700704869774454	0.5757972852424266
PPP1R13B	-0.28474342736117975	1.6510084030603837e-11
RALGAPA2	-0.17866919929432287	1.0672857953820014e-06
RPL6	-0.06278197471193825	0.19164148698359307
ESF1	0.6106388810991706	1.6918998037890768e-44
SLC8B1	0.04314100554586754	0.6355820842716902
TMEM230	0.5856125527704444	7.78832479690139e-22
OAS1	0.20643293889224024	0.01977941522928386
TRMT6	0.4860831662069345	2.0870628683041583e-31
UQCRC1	0.22162054020723726	8.653824386004402e-10
GMIP	-0.022469930204044156	0.3716574370253433
LAG3	-0.3256240879183924	0.05409629130499826
MLF2	-0.000578310260504665	0.9906277217370082
OTUB2	0.08620581502155168	0.4057266357333768
ARHGAP4	-0.08596051004619348	0.020870815970837082
TFAP4	0.04314819805593059	0.2842341462894459
PDCD7	-0.10040005920876613	0.041367422203227616
SPG21	-0.15167435429965084	1.5941694718225203e-07
CHRD	-0.03199439198371737	0.5562804107402028
GNPTG	0.07600300467279676	0.008856246843841075
GOLGA3	0.40907273423875434	5.0501816019920746e-36
EFNB1	-1.1219536205809804	4.124841292338564e-46
GLG1	0.4605701248500813	2.9520222933441406e-21
DLL3	0.36614606997194843	0.22883498742357283
NAT14	0.14848449335400296	0.0005266400355823569
AASDH	-0.3176808832648298	0.008519189829500357
LAMB4	0.759951217261699	2.3800923274250573e-06
DLD	0.05807736112040413	0.06025155320641706
ABCC6	-0.3754230428571216	6.731919472089325e-07
CMTM6	-0.24601100327435343	0.010870683027058927
APOH	-0.6094922862675831	2.1479433722363325e-23
SPAG7	0.06287544006874964	0.05320435826892433
RGS17	-0.5225439697244714	0.01066401901568006
TMEM101	0.15865779526720952	0.0023881719968244374
CCDC80	0.5987947203974014	2.991681450170329e-16
PSME1	0.16921281676037905	5.8766299027286356e-06
HAUS4	-0.021153318979550553	0.5669375198399836
OSGEP	0.026293214869945153	0.2257630325431601
TGM1	-0.9559695852830356	9.555752528287077e-05
TBX15	0.12901279708027025	0.22278485170073056
TEKT2	-0.9682092219971675	2.6392892893342286e-29
UNC13D	-0.40253229207717334	4.400975358353546e-19
XYLB	0.05553355856317162	0.1259435257760348
ADH7	-1.041200269925477	1.3915181311850649e-14
ADH1A	-1.3386090818609275	1.8157345228364747e-57
KRT23	0.10723397678238804	0.4750854486223277
AAAS	0.15256140783714528	3.201851491897102e-12
CBX5	0.3556561665809561	1.2459446348820959e-24
KLHL20	-0.04972670334401625	0.22975233176081855
FMO2	-1.1233750575588248	8.529601625947258e-54
DHPS	0.17432317026062105	1.2118720142259046e-05
RAB26	0.22536717323401712	0.4717637357592091
PSMD5	-0.06543162717324079	0.007095503284025393
NANS	0.37962473667982355	1.263799820150475e-23
GSTA3	-1.0573218572513499	1.1728118995278143e-06
MAPK13	0.41164959983518823	1.766924721094249e-24
BAG6	0.2230273945048915	1.5375434881628048e-19
ZNF184	0.4559515313450144	0.0010199964116338086
VCL	-0.7913971483825905	6.489868601260087e-65
SIRT1	0.18329432256090483	3.7066091735203087e-09
TGFBR3	-1.3107954058464129	9.406980021092201e-51
TMED1	0.3887973254566288	2.3840111665137187e-17
PSMD8	0.3100297311415324	3.578636350226952e-40
BCL7C	0.07771732814145366	0.001545077739988651
ATP5F1D	-0.05828049629020324	0.049742237437554286
IGFALS	-0.8183134026283867	2.707731736105897e-43
NDUFB7	0.2753594105732708	1.1809258543006744e-13
TECR	0.18217066978996313	7.85439820945896e-05
TIMM13	0.6265019434646744	1.6051263794016256e-31
CDC34	0.24216296718536143	1.32762975924611e-11
MISP	0.004030902411787669	0.946794795949913
MAPK12	-0.5037874909942377	2.8209325982517075e-21
SERPIND1	-1.235094827202345	3.2107535255392837e-60
SNAP29	0.12563827429709964	1.3511607219943472e-06
THAP7	0.3509710103272849	0.016592583757595605
MMP11	0.29610900334377055	0.00040217843910875256
MIF	-0.018103111728347707	0.4962491192065597
TBC1D10A	-0.11578625907649542	0.0001337032996795565
SF3A1	0.30483042236172764	5.3351696142623304e-52
USP18	-0.003195175028558265	0.9681478952144522
SEC14L3	-0.20853321792996565	0.4222558738328746
SNRPD3	0.15824274903423255	1.2203144596388066e-14
MAPK1	-0.19889131933602094	4.400181801097588e-19
TCN2	-0.2820049107081971	5.569475660264757e-07
SLC25A1	0.42479421803497397	3.686741719111133e-15
LGALS2	-0.42459425138767526	6.660861119654319e-07
PDXP	-0.4081428774306816	2.2279222749773413e-33
ASPHD2	0.8155105357916891	1.0294679416718637e-12
LGALS1	-0.16580871662011487	0.00013841998407866784
PIK3IP1	-0.44502369586744794	1.00412995907076e-21
PATZ1	-0.2699001256874776	0.026294537852185704
ANKRD54	-0.16436254098115605	4.3706760633864776e-14
MICALL1	-0.26558872219142915	3.9095915826081765e-22
CENPM	0.6440569469388981	1.6067311218575034e-05
KDELR3	0.6822895238179308	1.188987146944748e-15
HSCB	0.11111505274654494	0.0015515913018158758
CBY1	-0.8778581481962245	2.727485433371049e-42
TOMM22	0.26636459523327993	9.426490250603603e-15
RSPH14	-0.7543550229259469	6.803042493928635e-07
RTCB	0.22930410997408301	2.4266233711572064e-37
JOSD1	-0.43457571914483595	3.1134273737328685e-16
GTPBP1	-0.019234541298910904	0.30651167635089255
DNAL4	-0.19758098338884797	0.0006114739738223274
LMF2	0.240548547036813	8.916565969839177e-08
CBX6	-0.24378073943409329	2.2168566904975017e-07
RHBDD3	0.08476960488445905	0.12419354914713127
HMGXB4	0.24314997905422592	3.421275243665081e-15
HMOX1	-0.30125241405196784	2.3253742759652792e-10
NIPSNAP1	0.31993026373669226	3.657095238822022e-15
MCM5	0.7707221286159396	1.4214244907724474e-24
ARSA	0.12272343002493608	0.0183748124206747
TTLL12	0.08136288853051202	0.021407407999895166
CBX7	-0.5868007458787641	6.619102380038551e-19
TAB1	-0.12646827040135214	1.8808227800089345e-18
MYH9	0.02903014192962028	0.21957445997851427
TXN2	0.06889352912224235	0.040472375310297716
FOXRED2	-0.2605215894508837	0.0004755307312736233
EIF3D	0.17513745373136477	8.595451237498133e-25
PVALB	-0.3649748484188875	7.300200173536034e-06
FAM118A	-0.017599814666509624	0.7045771209500629
ST13	0.00367921587214641	0.8963092992333809
RBX1	0.2573414508842051	9.552063817865552e-33
L3MBTL2	0.06330093703058684	0.05831153322864648
PHF5A	0.5098035443073827	9.056370337659003e-46
ACO2	0.23304988794713064	1.531018940545459e-11
PMM1	-0.005395610941997366	0.8738296880437808
CERK	-0.45838326856893324	0.0002967627115973978
BRD1	-0.031007925315969055	0.23397379572166743
ZBED4	0.6071295044004474	1.7447691806553698e-05
HDAC10	-0.18153060640457197	6.916134435701282e-08
RIPK3	0.10698221616103154	0.004052443995803746
PAPOLA	0.4292526473197964	2.6082955043646684e-35
HSP90AA1	0.38654463572656855	1.5984472787028914e-35
NID2	-0.6815578983138073	2.0323560441416317e-49
MARK3	0.008679547241874808	0.9079022507502189
SNAPC1	0.08200617571508328	0.2851206717495054
SUPT16H	0.5191711977968253	4.062760247375964e-40
FKBP3	0.8177539305728788	1.4850505555787932e-56
GZMH	-0.8323816643944129	8.252075452600609e-28
GZMB	-0.2015653833968401	0.0421907119455417
COCH	0.0697146713864058	0.5247653123363699
POLE2	-0.5447630693516627	7.962530876586046e-06
SOS2	-0.23251070791079204	1.3651649237903464e-20
PYGL	-0.010239209381292524	0.8346022034237633
GNPNAT1	0.867500218780028	2.268783051160181e-33
CNIH1	0.1365468167774806	0.5286145219625563
CGRRF1	0.20338530453303708	0.0010774526988337116
ATP6V1D	-0.11486631883612547	9.029751351373646e-06
PLEK2	0.5789178997685975	1.310678255001188e-19
PIGH	0.1456958473074138	0.00045737037769836246
PSMA3	0.10209037230004882	4.414365502457136e-09
GSTZ1	0.16300546516662512	0.0019287993918499786
TMED8	0.16826458894474783	1.1544048243879709e-09
AHSA1	0.26177994921927583	6.963508497038651e-20
SPTLC2	0.471975270139467	6.94775531588961e-34
RIN3	-0.2429656005415308	2.073382636478059e-15
ALKBH1	0.05265166968348203	0.24752233128022486
CHGA	0.068530672351139	0.8091698429419754
DHRS7	0.25065834172152357	1.2152337691216598e-06
SIX4	0.4420533818748747	1.2537866681865611e-09
EIF5	0.47268669257027035	1.3428494273967646e-49
ZFYVE21	-0.5735164583679766	7.814875683789915e-44
VRK1	0.31770903702431286	1.5150836364647406e-13
APEX1	0.27294343123225967	1.690740013644704e-16
PABPN1	0.38346429917919433	4.035399518796773e-13
EFS	-0.1249063133827645	0.0047526804572756084
CINP	-0.032623379176730485	0.237467907788084
SRP54	0.4981713266654244	1.9700081006360704e-50
PCK2	-0.0426865773339115	0.31439313859858453
NFKBIA	-0.1793773792496955	4.927349745832588e-06
EMC9	-0.09801298411887932	0.03192219714092384
PSME2	0.24413204624282575	8.440416004125716e-09
BRMS1L	0.09314650613771318	0.001089295379228905
PNN	0.43783386183380624	1.518948437910634e-52
RABGGTA	-0.0815169062824336	1.3616913242905494e-05
CYP24A1	0.2619535260836499	0.15154344396244496
PTPRA	-0.40719568482866975	3.35941341863353e-39
NSFL1C	-0.12471391323887443	2.630114501603416e-07
AURKA	0.5215737574524013	1.9214409204316244e-06
ZFP64	0.3753043981603892	7.864132833848786e-17
PYGB	-0.1487758604695435	0.0006474116736452884
PROCR	-0.603812875581963	3.922916290291524e-28
MYBL2	0.275972277755185	0.1482955076519646
PABPC1L	0.13612138933965134	0.030385569424006522
CSTF1	0.374333781936098	4.447284634448184e-51
TPD52L2	0.31144057770873823	8.930051098020271e-22
CTSZ	-0.06688433156994306	0.16047393404593469
TUBB1	-1.1551350123780733	1.3556388805665779e-41
SLCO4A1	0.175060715938401	0.3586771808196917
UBOX5	-0.189694337530393	0.0011396749937643933
EEF1A2	0.6110779424413046	8.777283966140354e-06
C20orf27	-0.2898612689663332	5.8091191960746825e-21
MACROD2	-0.7334889834970861	5.509174484941824e-25
FERMT1	0.29613161640691543	6.881462730892986e-08
TM9SF4	0.4508979289374858	1.740851552699458e-24
CDK5RAP1	0.1869926586627496	0.002951119881027624
SNTA1	-0.61835311586246	9.152975195865675e-33
CHMP4B	0.42366982480149806	2.9030696487534874e-43
LBP	-0.7382268039255322	5.573116748817152e-16
CST4	0.5475004255390423	0.2535825240611474
AHCY	0.21146271192856908	2.169232281878569e-10
ACOT8	0.10278141329596865	0.0023628504833573967
APMAP	0.018334297914876656	0.5965232697193623
TXNL1	0.05934647731598365	0.042541511862619806
MYL12A	-0.44708131735665835	1.0498671172349477e-13
RNF125	0.958611827093464	9.171541814380027e-12
TAF9	0.10395775273855198	0.00476153601789225
IDH3G	-0.02941836092376296	0.2754170571171586
MXRA5	0.7360886067010177	6.954003638801448e-29
VSIG1	0.25554846238855866	0.26377029654624057
PSMD10	0.19277838329397184	8.709635100043852e-14
STS	-0.09464567015972455	0.2135284132380132
PGRMC1	0.41555023348250475	1.4024412917769652e-12
NXT2	0.13795594249722704	9.479008375284684e-05
TLR8	-0.47724409476395335	6.1694475582109e-31
WDR13	-0.30893882938663453	1.3697633608527755e-23
STAG2	0.1539628444843324	1.8031338692594786e-10
F9	-1.244670913875775	8.970693768145905e-61
ABCD1	0.1278947399891318	0.0009059530255742313
BCORL1	-0.1349544770724461	0.03819016449142419
SLC25A14	0.2926260138171638	0.00013858993080415803
PQBP1	0.2401365975130153	2.9668007005608703e-22
PCSK1N	0.02781614258451867	0.8264768775225825
GPR50	0.308195628372118	0.44709557191403226
RP2	-0.28957497129562265	3.3119384107115244e-18
HTATSF1	0.5300727048376235	3.1022069992206795e-37
TIMP1	0.7832708522665139	2.2085262679404624e-21
MAGED2	0.5444492622586233	6.523967048787893e-31
GLA	0.4096565186260072	3.5106484646247877e-09
ACP5	-1.268983673086879	1.1436660643410633e-31
SGCG	-1.2897908806180935	1.7052609007188838e-42
SUPT20H	0.11951621322292902	1.7486666369592025e-05
OLFM4	-0.3146621685906307	0.020827372035450306
NTHL1	-0.021500179901999563	0.5519037641639146
ZNF263	0.4039664744581806	0.0003502011218076083
MMP2	-0.06419135706253105	0.19774079868856956
ORC6	0.6228303390758245	0.03735536526129874
C16orf70	-0.20478333410526342	9.757996480561389e-20
CORO1A	0.09210243467067822	0.0381002081462833
LYRM1	0.3174780119759518	9.329302223567793e-08
NUTF2	-0.19402066361979126	1.5943995359520503e-11
ARL2BP	-0.1382466802862492	1.604424176808344e-05
PLLP	-1.5546645175619305	2.7736066901090736e-53
DHODH	0.12484104163400545	0.009286419667693321
POLR2C	0.14059369089491197	4.71939054869214e-17
MMP15	-0.08932127505505848	0.035560975903071904
USB1	0.09209179649897845	0.21722928515999554
CCDC113	-0.37130047263738913	0.01928005358197685
NME3	0.11154134036225825	0.0031072371047510625
PSMD7	0.26594827421641765	3.774907327530519e-40
SETD6	0.08850887291356124	0.2426061792792715
SMPD3	-0.2862927652529486	0.001019944280440043
SLC7A6	0.39605296843612703	0.0008836426380823368
PLA2G15	-0.29884806521570967	1.5552171030169364e-07
FA2H	0.24203935385794534	0.0050109966036377
CMC2	0.09089077190867605	0.06334576149307505
PDIA2	0.47043218017621086	0.08177716580341111
MPG	0.2502342300503475	1.3737799107843406e-16
HSDL1	0.337306277105843	9.514322329600926e-14
USP10	0.38860963876978927	3.3041248537141765e-36
NME4	0.1346732080474436	0.06296236169376698
DECR2	0.44126580529135295	7.210606990144559e-13
ANTKMT	-0.15451874913013386	0.16917364342638322
STUB1	0.13227063498860706	0.0002365743172733595
MEFV	-0.3938128349382546	2.4629970058652205e-12
CRYM	0.15986259766658695	0.16323268611503886
CAPN15	0.22855257851662436	6.084896753342054e-13
USP31	-0.2892775301428758	0.00048534276860363515
TOX3	0.20949233675933415	0.13889338064213702
MAZ	0.45858564762932197	1.8677926971979336e-28
CDIPT	-0.11985006306956893	0.020920869343535625
BCKDK	0.2122244748063429	5.30259817894454e-07
KAT8	-0.050452759780993076	0.024107698901526756
KNOP1	0.40886674694257374	7.313796195871511e-16
MGA	0.10648580549105005	4.226714098557344e-05
AQP9	-0.6099212130379432	0.14135142380780014
CSK	-0.02343614205280943	0.3681507990634735
MTFMT	0.17983715632148817	0.001389389052758605
RASL12	-0.8828749926130903	2.1804389423809254e-65
CTSH	-0.6312904362279594	5.384216501058784e-13
CEMIP	0.48356565831442677	4.813250456668815e-09
EHD4	-0.9692576416471451	1.13089036100155e-79
GABPB1	0.09053940335366896	0.005443939014933157
SCG3	0.1488590555875074	0.6535420957337288
DNAJC17	0.07901762113227057	0.0038337333023717567
VPS18	-0.10083829499114873	4.782235399280839e-10
BLOC1S6	0.24894252196713074	1.4678414496440562e-15
EXTL3	0.12882301307723673	0.021551850295518864
FDFT1	0.25234090871215925	0.00011486427705189585
AGO2	-0.20306484915375309	1.3322079085372797e-13
PAG1	-0.12767016619452606	0.0006062783642992537
TG	-0.5220324396833438	0.003065209972681895
BRF2	0.23939765825396508	0.0032152699202735173
ZFAND1	0.1954031593753982	5.59338042976913e-08
RIPK2	0.07873892640583234	0.014617356145012236
CPQ	-0.19610299744902562	0.0009682742289798112
DECR1	-0.03278274722022105	0.39320614390172925
SFRP1	-1.0222412257210813	7.11060457595245e-30
PLAT	-0.9332224164147753	1.0174912032902798e-20
DKK4	-0.054434668813407416	0.8263771137067076
GDAP1	0.16465918663160034	0.002275851510848554
PHF20L1	0.17854314125950604	5.307427297169337e-11
EIF3E	0.19746660249926418	1.3274370294785063e-25
