gene	log2fc	pval
A1BG	-0.032416534181242795	0.732251994405154
A1BG-AS1	-0.3810068892421823	4.045847095973604e-05
A1CF	0.9306200317965008	9.413446032860093e-07
A2M	-1.953055113937463	1.2107893574040194e-58
A2M-AS1	-1.3632061473237957	1.2106167026434438e-41
A2ML1	0.569292527821939	0.006372217551293744
A2ML1-AS1	-0.18920508744038153	0.0033628693243488686
A2ML1-AS2	0.017946475887652344	0.7289534149719599
A2MP1	-1.411489136195018	1.8663080976572e-27
A3GALT2	-0.055129835718071285	0.624865916732972
A4GALT	-0.3929835718071004	0.00010207117673352608
A4GNT	-0.8138606253312135	1.365155459518795e-07
AAAS	0.2634101748807609	1.422406446533136e-10
AACS	0.7608055113937482	1.5508724478080052e-21
AACSP1	-0.739160042395338	0.001773956624105829
AADAC	-2.3621250662427142	2.2152721161622064e-18
AADACL2	-1.5924933757286688	1.5030799609951659e-12
AADACL2-AS1	0.6711102278749337	5.171255585605989e-07
AADACL3	0.09566242713301537	0.08909717727385574
AADACL4	-0.5719819819819822	5.051527463793919e-08
AADACP1	-0.887511923688395	2.995836213343216e-06
AADAT	0.08940381558028676	0.32305630992796375
AAGAB	0.5073714891361973	9.891113491426298e-20
AAK1	-0.17986221515633538	1.5193426568799556e-06
AAMDC	-0.6745495495495479	3.270908897493439e-28
AAMP	0.42188659247482896	2.1700655245865556e-22
AANAT	0.09139109697933234	0.5125894989217424
AAR2	0.12530736618972327	0.002331790479277209
AARD	-1.6380498145204037	2.5779094247281146e-33
AARS1	0.7771807101218844	9.130685777296653e-29
AARS1P1	0.0	
AARS2	0.40251192368839384	1.6341407398831957e-21
AARSD1	0.504724430312665	2.1674974954035787e-28
AASDH	0.281589825119239	4.4526486385246446e-07
AASDHPPT	0.4914069952305251	1.5870127068282192e-17
AASS	-0.5702755696873307	1.5850182394637284e-12
AATBC	0.25452835188129086	0.015291506945379355
AATF	0.43708002119766753	3.111622639542711e-19
AATK	-1.6333889772125065	1.4365134588088187e-40
ABALON	0.12596714361420336	0.08879971927872206
ABAT	0.047503974562797424	0.6697143470076764
ABBA01000933.1	0.015045045045045044	0.33894868659982463
ABBA01000935.2	-0.06008479067302619	0.8091392767052944
ABBA01006766.1	0.0	
ABBA01010928.1	-0.017148913619501854	0.6637433881601803
ABBA01031658.1	0.0	
ABBA01031669.1	0.0005484896661367214	0.9759921198982568
ABBA01045074.1	0.7156385797562269	1.324646260425294e-06
ABBA01045074.2	1.083116057233704	2.435748827178089e-16
ABCA1	-0.4115633280339228	1.5378262068288661e-09
ABCA10	-2.389223635400106	9.171401396626366e-62
ABCA11P	-0.08936406995230506	0.14046945699262875
ABCA12	4.965948595654478	2.817591458876367e-62
ABCA13	-0.08698993110757414	0.7048119322253585
ABCA17P	1.349658187599362	7.7466359154045945e-22
ABCA2	0.39773184949655516	1.9490242029445376e-09
ABCA3	-1.7176338102808728	1.991912565274986e-31
ABCA4	2.127649708532063	6.077244400177382e-17
ABCA5	-0.47843402225755227	3.847156504770629e-11
ABCA6	-2.0692580816110215	6.002783916718822e-63
ABCA7	0.5175781664017016	4.86450152701804e-11
ABCA8	-3.2617143614202444	3.7361354772005555e-66
ABCA9	-2.097000529941708	4.941850940354428e-71
